StationID,StationName,StateName
506,Atreyapuram,AP
8231,Attayampatti,TN
2548,Atthikadai,TN
7204,Attibele Ka Tn Border,TN
266,Attili,AP
911,Attingal,KL
1377,Attur,TN
9326,Aul,OR
4220,Aundha Nagnath,MH
9245,Aurad Shahajani,MH
325,Auraiya,UP
101,Aurangabad,MH
8480,Aurangabad-ajanta-ellora,MH
4222,Ausa,MH
9464,Aut,HP
1379,Authoor,TN
7858,Authoor North,TN
7859,Authoor South,TN
1380,Avadi,TN
2549,Avanam,TN
9547,Avanathankottai,TN
4223,Avanigadda,AP
237,Avidi,AP
4224,Avinashipalayam,TN
747,Avinasi,TN
10111,Avudaiyapuram,TN
9317,Avudayarkoil,TN
9439,Awahadevi,HP
4225,Ayakkaranpulam(vedaranyam),TN
7205,Ayanoor,KA
2551,Ayarkunnum,KL
2552,Ayikkarapadi,KL
2553,Ayodhya Allhbad Varanasi,UP
9759,Ayodhyapuram,GJ
1382,Ayyampet,TN
2554,Ayyampettai,TN
449,Azamgarh,UP
2555,Azhagankulam,TN
9494,Azhagapuri,TN
2556,Azhagiyamandapam,TN
2557,B.D.AJunction LeeMeridian,KA
8731,B.gudur,AP
7206,Baanavara,KA
4230,Baara,
2558,Babapur,GJ
4231,Bableshwar,KA
4232,Babra,KA
4233,Bacheli,CT
10100,Bachhrawan,UP
7208,Bachi Ka Mh Border,MH
8732,Bacholi,KA
10135,Bada Malhera,MP
2559,Badadiya,MP
6130,Badagaon,MP
2560,Badakara,KL
1383,Badami,KA
4065,Badampudi,AP
4234,Badarwase,MP
12142,Badaun,UP
7064,Baddi,HP
4235,Badh Nagar,BR
10289,Badhada,GJ
6778,Badhnawar,MP
4279,BadiSadri,RJ
3327,Badiyadka,KL
4238,Badmer,RJ
4239,Badnagar,MP
1143,Badnapur,MH
4240,Badnera,MH
4241,Badnore,RJ
1385,Badoli,HP
2562,Badrinath Kedarnath Yatra,UT
2440,Badvel,AP
696,Bagalkot,KA
1386,Bagalkot (vidyagiri),KA
7209,Bagamandala,KA
2563,Bagasara,GJ
9115,Bagdana,GJ
1387,Bagdu,HP
10291,Bagdu(Gujarat),GJ
7210,Bagepalli,UT
7211,Bagewadi,KA
4242,Baggar,RJ
4243,Bagha Purana,PB
1388,Bagodra,GJ
2564,Bagra,RJ
4244,Bagru,RJ
4245,Bagu,RJ
4246,Baharoad,RJ
2565,Bahel,MH
4247,Bahigaon(cg),CT
527,Bahraich,UP
2566,Bahroad,UP
8733,Bai Reddy Pally,AP
7212,Baichanhally,KA
4248,Baihar,BR
3894,Baijnath,HP
3540,Bail hongala,KA
4249,Bailadila,CT
1389,Bailhongal,KA
2567,Bailur,KA
9258,Bairiya,BR
3826,Bairumbe,KA
4250,Baitalpur,UP
4251,Baitul,UT
3617,Bajagoli,KA
1391,Bajpe,KA
2568,Bajpe Kinnigoli,KA
4252,Bajpur,UT
4253,Bakewar,UP
4254,Bala Chour,HR
289,Balabadrapuram,AP
7215,Balaganganapalle,AP
4255,Balaghat,MP
2569,Balaji,RJ
9731,Balanthram,AP
2278,Balapur,TG
